FMID,MarketName,street,city,County,State,zip,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1006731,Bradford Farmers Market,1801 N. Temple Avenue,Starke,Bradford,Florida,32901,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1009876,Bradford Farmers Market,172 North Main Street,Bradford,Orange,Vermont,33,N,Y,Y,Y,N,-,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,04/09/2014 10:03
1006913,Bradford Farmers Market,Main St,Bradford,Merrimack,New Hampshire,3221,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/27/2012 5:44
1008629,Bradford Square Farmers' Market,4000 Fort Campbell Blvd,Hopkinsville,Christian,Kentucky,42240,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,06/03/2014 11:35
1000023,Bradford Store,15915 Davidson Concord Rd,Huntersville,Mecklenburg,North Carolina,28078,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/22/2012 13:40
1005051,Bradley County Farmers Market,"Church Street, S.E.",Cleveland,Bradley,Tennessee,37311,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1010748,Brainerd Farmers Market,20 Belvoir Ave.,Chattanooga ,Hamilton,Tennessee,37411,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,12/23/2014 16:22
1018227,Braintree Farmers Market,1 JFK Memorial Dr,Braintree  ,Norfolk,Massachusetts,2184,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,12/22/2018 7:56
1008830,Bramwell Farmers' Market,100 simmons ave,Bramwell ,Mercer,West Virginia,24715,Y,Y,N,Y,N,-,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/20/2015 11:40
1007584,Branch Avenue in Bloom Farmers' Market,3737 Branch Ave. (Iverson Mall),Temple Hills,Prince George's County,Maryland,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1000156,Branch Brook Park Farmers Market,Branch Brook Park at Lake Street,Newark,Essex,New Jersey,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1008401,Branchport Farmers Market ,3369 Guyanoga Road,Branchport,Yates,New York,14418,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,6/27/2016 13:56
1003465,Brandermill Green Market,4900 Market Square Lane,Midlothian,Chesterfield,Virginia,23112,N,N,N,N,N,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,05/09/2012 15:08
1005714,Brandon Farmers Market,"Central Park, Rt. 7",Brandon,Rutland,Vermont,5733,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/23/2015 15:34
1002178,Brandon Fresh Market,Southeast corner of Bloomingdale and Providence Avenue,Brandon,Hillsborough,Florida,33511,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1012403,Branford Alps Farmers Market,17 Alps Road,Branford,New Haven,Connecticut,6405,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,07/11/2016 09:53
1007428,Branford Community Farmers Market,506 Suwannee Avenue,Branford,Suwannee,Florida,32008,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 29 2010  8:19AM
1006926,Branson Farmers' Market,Bus 65 & Pacific St,Branson,Taney,Missouri,65616,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,06/05/2012 12:58
1002407,Brattleboro Area Farmers' Market,570 Western Ave.,Brattleboro,Windham,Vermont,5301,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,12/21/2018 20:21
1018461,Brattleboro Area Farmers' Market - Downtown Market,,Brattleboro,Windham,Vermont,5301,Y,N,N,N,Y,-,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/28/2017 16:03
1011075,Brattleboro WInter Farmers' Market,80 Flat St.,Brattleboro ,Windham,Vermont,5301,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,12/21/2018 20:15
1003052,Braxton County Tailgate Market,Rt. 4 Gassaway,Gassaway,Braxton,West Virginia,26624,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1007663,Brazos Valley Farmers Market,201 North Texas Avenue,Bryan,Brazos,Texas,77803,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003139,Brea Farmers Market,Brea Blvd. & Birch St.,Brea,Orange,California,92821,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1007746,Breaux Bridge Farmers Market,800 Rees St.,Breaux Bridge,St. Martin,Louisiana,70517,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1007558,Breckinridge County Farmers Produce Market,1377 Highway 261 South,Hardinsburg,Breckinridge,Kentucky,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1004819,Breezy Acres Orchard,3470 Waynesville- Jamestown Road,Xenia,Greene,Ohio,45385,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1017946,Bremen Farmers Market,South Jackson Street and US 6,Bremen,Marshall,Indiana,46506,Y,N,N,N,N,-,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,4/27/2017 14:25
1018556,Bremerton Farmers Market,1400 Park Ave,Bremerton,Kitsap,Washington,98337,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,7/30/2018 20:15
1011349,Brentwood Farmers' Market,First St. and Oak St.,Brentwood,Contra Costa,California,,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,7/14/2015 11:19
1008611,Brevard County Farmers Market,2500 Parkway Drive,Melbourne,Brevard,Florida,32935,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,3/14/2014 11:56
1003004,Brewer Farmers' Market,Brewer Auditorium Parking Lot - Wilson Street,Brewer,Penobscot,Maine,4412,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,3/26/2015 21:39
1005878,Brewster Farmers Market,15 Mt. Ebo Rd. So.,Brewster,Putnam,New York,10509,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,7/26/2018 17:43
1001610,Brewton Farmers Market,Between Mildred & Lee Streets,Brewton,Escambia,Alabama,36427,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003867,Brian Coyle Farmers Market,450 15th Ave S,Minneapolis,Hennepin,Minnesota,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun  4 2010 11:10PM
1006853,Briarcliff Village Farmers Market,4175 Mulberry Drive,Kansas City,Clay,Missouri,64116,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,05/12/2014 15:18
1006305,Briargate Farmers Market,7610 N Union,Colorado Springs,El Paso,Colorado,80920,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,3/19/2014 16:54
1008568,Brick District Farmers' Market,10 East 5th Street,Fulton,Callaway,Missouri,65251,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/26/2013 14:39
1011201,Brick Farmers' Market,265 Princeton Ave,Brick,Monmouth,New Jersey,8724,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,6/27/2016 15:06
1018821,Brickell City Centre Farmers Market ,Between SE 6th Street & 8th Street Underneath the Metromover ,Miami ,Miami-Dade,Florida,33131,Y,N,N,N,N,-,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,08/12/2017 20:01
1004664,Bridge Street Farmers Market,Bridge Street by the Lift Bridge,Kingsville,Ashtabula,Ohio,44048,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005068,Bridge Street Farmers Market,"340 The Bridge Street, #206",Huntsville,Madison,Alabama,35804,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 16 2010  9:57AM
1001519,Bridgeport Farmers Market,600 Market Place ,Bridgeport,Harrison,West Virginia,26330,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,05/01/2014 06:38
1002700,Bridgeport Farmers' Market,409 N Main St,Bridgeport,Morrill,Nebraska,69336,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,05/05/2015 07:16
1011212,Bridges to Wellness Farm Stand,700 North Street,Rochester,Monroe,New York,14605,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,06/08/2015 09:11
1000781,Bridgeton Outdoor Market in the Culinary District - A community Farmers' Market,Corner of Laurel and East Commerce streets,Bridgeton,Cumberland,New Jersey,8302,N,Y,N,N,N,-,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/25/2013 8:35
1007207,Bridgeview La Crosse Farmers Wednesday Market,2500 Rose St NEXT TO BRIDGEVIEW PLAZA SHOPPING CENTER,La Crosse,La Crosse,Wisconsin,54603,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1011242,Bridgeville Farmers Market,341 Washington Pike,Bridgeville,Allegheny,Pennsylvania,15017,Y,N,N,N,N,-,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,6/16/2015 8:27
1019146,Bridgewater Farmer's Market,1 Vogt Drive,Bridgewater,Somerset,New Jersey,8807,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,6/26/2018 19:01
1008382,Bridgton Farmers Market,Depot Street,Bridgton ,Oxford,Maine,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,3/13/2014 13:41
1009462,Briggs Chaney-Greencastle Farmers and Artisans Market,3300 Briggs Chaney Road,Silver Spring,Montgomery,Maryland,20904,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1018756,Brigham City Farmers Market,20 N Main Street,Brigham City,Box Elder,Utah,84302,Y,N,N,N,Y,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,4/16/2019 8:55
1004823,Brighton Downtown Saturday Market,91 North Main Street,Brighton,Adams,Colorado,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003816,Brighton Farmers Market,North 1st St,Brighton,Livingston,Michigan,48116,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun 11 2010  3:19PM
1005440,Brighton Farmers' Market,1150 Winton Road S.,Rochester,Monroe,New York,14618,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,7/13/2016 14:58
1003717,Brillion Farmers Market,HuB Shopping Center Parking Lot,Brillion,Calumet,Wisconsin,54110,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005483,Brimfield at Hitchcock Free Academy,"Hitchcock Free Academy, a community center parking lot, at  2 Brookfield Rd.",Brimfield,Hampden,Massachusetts,1010,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,7/26/2018 15:23
1003513,Brimfield Farmers Market,Town Center Dr,Kent,Portage,Ohio,44240,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 15 2010 11:06PM
1000541,Brimhall CFM,9500 Brimhall Road,Bakersfield,Kern,California,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1007649,Bringing Home Grown to U 1,Mid Rivers Mall,St. Louis,St. Louis,Missouri,63021,N,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,06/05/2012 14:23
1007650,Bringing Homegrown to U 2,Greenscape Gardens,St. Louis,St. Louis,Missouri,63021,N,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,06/05/2012 14:27
1007502,Bristol - Housing Authority Farmers Market,31 Quaker Lane,Bristol,Hartford,Connecticut,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1012058,Bristol County Agricultural High School,135 center street ,Dighton ,Bristol,Massachusetts,2715,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,N,6/28/2016 11:44
1004480,Bristol Farmers Market,83rd Street,Bristol,Kenosha,Wisconsin,53104,N,N,N,N,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,4/13/2011 17:57
1007474,Bristol Farmers Market,"Old Bristol Centre Mall, 100 N. Main St.",Bristol,Hartford,Connecticut,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1000309,Bristol Farmers' Market,"Town Green, Main Street",Bristol,Addison,Vermont,5443,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/22/2014 19:44
1008017,Bristow Farmers Market,9050 Devlin Rd,Bristow,Prince William,Virginia,20136,Y,N,N,N,N,-,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,5/13/2014 0:34
1010604,BRIT First Saturday Farmers Market,1700 University Drive,Fort Worth,Tarrant,Texas,76107,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,9/24/2014 16:54
1002198,Britt Farmers Market,72 Main Avenue South,Britt,Hancock,Iowa,50423,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1010335,Broad and Mt. Vernon ,Broad and Mt. Vernon Streets,Philadelphia,Philadelphia,Pennsylvania,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2014 11:06
1005301,Broad and Snyder Farmers' Market,Broad and Snyder Streets,Philadelphia,Philadelphia,Pennsylvania,19148,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:42
1005321,Broad and South,Broad and South Streets,Philadelphia,Philadelphia,Pennsylvania,19103,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 13:33
1001493,Broad Branch Farmers Market,Lafayette Elementary School,Washington,District of Columbia,District of Columbia,20015-2541,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1018892,Broad Ripple Farmers Market,1115 Broad Ripple Avenue,Indianapolis IN,Marion,Indiana,64220,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,12/20/2017 12:39
1019467,Broad St. Farmers Market,807 Broad St,Providence ,Providence,Rhode Island,2907,Y,Y,Y,Y,Y,-,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,04/11/2019 14:05
1006306,Broadmoor Farmers Market,315 Lake Ave,Colorado Springs,El Paso,Colorado,80906,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,3/19/2014 16:40
1009948,Broadway Farmers Market,,Cleveland ,Cuyahoga,Ohio,,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,4/15/2014 12:40
1010385,Broadway Farmers Market,902 Broadway,Tacoma,Pierce,Washington,98402,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,08/04/2014 13:37
1019257,Broadway Farmers Market,161 S Main St,Broadway,Rockingham,Virginia,22815,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,9/17/2018 13:36
1000821,Brockport Farmers Market,"Market St, between Main & Water Sts",Brockport,Monroe,New York,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1007603,Brockton Fairgrounds Farmers Market,600 Belmont Street,Brockton,Plymouth,Massachusetts,2301,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1018260,Brockton Farmers Market at City Hall Plaza,45 School St,Brockton,Plymouth,Massachusetts,2301,Y,Y,Y,Y,Y,-,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/30/2018 10:48
1018661,Broken Bow Farmers Market,East Highway 2 ,Broken Bow ,Custer,Nebraska,68822,Y,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,7/13/2017 16:28
1006039,Bronson Winter Farmers' Market,601 John Street,Kalamazoo,Kalamazoo,Michigan,49007,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,04/04/2011 16:06
1000095,Bronx Borough Hall Greenmarket,Grand Concourse & 161 St,Bronx,Bronx,New York,10452,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/23/2013 14:44
1012744,Bronxville Farmers Market,Stone Place and Paxton Avenue ,Bronxville,Westchester,New York,10708,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,7/28/2016 15:30
1006203,Bronzeville (Chicago) Farmers Market,3000 S. King Dr.,Chicago,Cook,Illinois,60602,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1019794,Bronzeville Growers Market,925 E. Mt. Vernon Avenue,Columbus ,Franklin,Ohio,43203,Y,N,N,N,N,-,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,03/10/2020 12:10
1005367,Brooke County Farmers Market - Follansbee ,1500 Main Street,Follansbee,Brooke,West Virginia,26037,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/28/2016 8:54
1000787,Brooke County Farmers Market - Wellsburg,Route 2 Wellsburg,Wellsburg,Brooke,West Virginia,26070,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/28/2016 8:52
1001097,Brookfield Farmers Market,2000 North Calhoun Road,Brookfield,Waukesha,Wisconsin,53005,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,07/08/2016 10:04
1003988,Brookfield Farmers Market,8820 Brookfield Avenue,Brookfield,Cook,Illinois,60513,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,05/12/2014 14:24
1007361,Brookfield Farmers Market,55 South Maple St (Rte 9),Brookfield,Worcester,Massachusetts,1506,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,5/16/2014 6:14
1006915,Brookfield Farmers' Market,"200 block S Main St, Tormey Park",Brookfield,Linn,Missouri,64628,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,06/05/2012 14:34
1002166,Brookhaven Farmers Market,S Whitworth Ave. and W. Chickasaw St.,Brookhaven,Lincoln,Mississippi,39601,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/14/2014 14:53
1012726,Brookhaven Farmers Market,1375 Fernwood Circle NE,Brookhaven,DeKalb,Georgia,30319,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,7/24/2016 22:05
1005482,Brookings Farmers Market,300 Block of 6th Ave,Brookings,Brookings,South Dakota,57006,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,07/12/2016 18:42
1019527,BROOKINGS HARBOR FARMERS MARKET,15786 HWY 101 SOUTH,Brookings ,Curry,Oregon,97415,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,5/15/2019 5:21
1018280,Brookland Tuesday Farmers Market,"10th and Otis Streets, NE",District of Columbia,District of Columbia,District of Columbia,20017,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,6/21/2017 9:31
1012257,Brookland's Monroe St Farmers Market,716 Monroe St NE,"Washington, DC",District of Columbia,District of Columbia,20018,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,N,07/05/2016 17:19
1005212,Brooklin Farmers' Market,,Brooklin,Hancock,Maine,4616,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1012091,Brookline Farmers' Market,Centre Street West Parking Lot,Brookline ,Norfolk,Massachusetts,2446,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,6/29/2016 7:48
1000100,Brooklyn Borough Hall Greenmarket,Court & Montague,Brooklyn,Kings,New York,11201,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,7/23/2013 14:30
1000775,Brooklyn Farmers Market,Brooklyn Community Building,Brooklyn,Dane,Wisconsin,53521,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1007767,Brooklyn FM,"Job Lot parking lot, Route 6",Brooklyn,Windham County,Connecticut,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1001371,Brooks Farm Market,,Baker,Okaloosa,Florida,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun  7 2010 10:49AM
